brand,domain
VTB,vtbsl1oscvt1sfm4cer46vojbvinrkmh.rest
VTB,vtb6n-9t0xd-polnox.work
Tinkoff,tinkoff1.store
Tinkoff,tinkoff1.ru
Telegram,sicktelegrambot.online
Telegram,my-telegramcn.org
Telegram,telegramapp.cloud
Telegram,v-telegramcn.org
Telegram,kdo-telegramm-app.net
Telegram,top-telegramcn.org
Telegram,zg-telegramcn.net
Telegram,m-telegramcn.org
Telegram,zh-telegramcn.org
Telegram,telegramstars.ru
Telegram,cn-telegramcn.net
Telegram,zh-telegramcn.net
Telegram,sicktelegrambot.ru
Telegram,v9-telegram.net
Telegram,zhs-telegramcn.org
Telegram,app-telegramcn.org
Telegram,telegrampremium.site
Avito,gravito.store
Cdek,kh6nmf2q047ltnraqhigpj3cdekg76db.top
Cdek,s85b0bfl8n4kvjpi02hcdektdk27f47t.top
Cdek,cdek-0329.info
Cdek,2s1l9fislfhlakm88tjcdek4gcs99pov.xyz
Cdek,o0tdfa6g8jg3ibqbl841svmcdeks69k9.online
Cdek,jq6l51epcdek7sq4eoseihtu94o85irq.xyz
Yandex,yandex-team.tech
Yandex,yandex-0329.info
Ozon,ozon-order.ru
Phishing campaign 'Mammoths',order91026.info
Phishing campaign 'Mammoths',order-20755.shop
Phishing campaign 'Mammoths',order190.store
Phishing campaign 'Mammoths',id26rji86skfmqbvhkaotl5r6og7cv25.top
Phishing campaign 'Mammoths',id6aumrg7l7oeh8pm25ebg7b8vbgv1b8.shop
Phishing campaign 'Mammoths',id6fssk0jdb0cb3ddalajfei2ptba1q5.xyz
Phishing campaign 'Mammoths',id17254.click
Phishing campaign 'Mammoths',id9tsnblld0moc2klh5alcpp3169ptng.top
Phishing campaign 'Mammoths',id9954ho2nl0c6q3rlmbncs0odm8b9df.top
Phishing campaign 'Mammoths',order-12952.shop
Phishing campaign 'Mammoths',id5q51.top
Phishing campaign 'Mammoths',order247.vip
Phishing campaign 'Mammoths',id60ij74t6euss6r99i7aukpl45b5g1h.shop
Phishing campaign 'Mammoths',order-2295.icu
Phishing campaign 'Mammoths',id14pu5flmvo3vcqrtvv2fc87ppimgje.top
Phishing campaign 'Mammoths',id3br0abic0i0ccl5g7pc6glq4q9anhg.top
Phishing campaign 'Mammoths',id-3502.sbs
Phishing campaign 'Mammoths',id6gy4.xyz
Phishing campaign 'Mammoths',id911.top
Phishing campaign 'Mammoths',id-63.icu
Phishing campaign 'Mammoths',payment123.net
Phishing campaign 'Mammoths',id-7231.shop
